Index,Height(cm),Weight(kg),BMI
11355,164.46515240000002,49.167916053179,18.17749432812884
8975,171.8426586,70.27973788551101,23.799518290428875
23071,172.71789180000002,57.417128330947,19.247166849774285
21345,171.1589922,57.654493218168,19.680390783486224
1689,163.5085376,57.492243227419,21.504452288155335
13209,170.70885339999998,63.014458176747006,21.6236058088934
15678,169.2738804,54.099463018293,18.880481008424983
10342,172.391705,61.619434842812005,20.734090070851323
3233,171.3832488,52.968067569802,18.033390473020404
18307,169.4305222,54.859774548887,19.11044146759804
19102,172.0348604,64.687488274255,21.856839827185837
7542,172.25119220000002,54.638240035379,18.41502143922875
5636,170.05574320000002,57.668736018586,19.941500110439613
20343,163.93274300000002,51.06243530495801,19.000722362405707
12300,163.93589260000002,56.758875083603,21.11959959319565
12525,168.620567,57.284860795855,20.147388985884728
13708,164.01333720000002,53.23582314581301,19.789993106869375
18769,170.4832506,55.091741686905,18.95496852330662
16782,172.183298,53.147055119004,17.926568343417284
7503,168.19011319999998,53.960754471547,19.075550827666447
21064,171.115482,55.078315352753,18.810573578159573
24374,166.1518648,57.449877700061,20.810315698315108
15109,169.57169539999998,59.624853114211,20.735790553330897
15308,162.323145,54.780894835744,20.790657548474925
16921,170.51616900000002,54.526928467781,18.753394983275292
14223,166.90703219999995,47.862114338423,17.180769449443712
9495,164.1069362,43.5544111034648,16.172541382238315
18296,172.89142460000002,60.53258216505501,20.250805129072457
16597,172.7693014,58.460617578132,19.585300735766968
758,170.55612319999997,61.041059211825,20.983959022708586
5894,169.2696132,53.905053328511,18.81358138448315
3330,170.6310024,60.707260586742,20.850897413312023
20973,167.75732259999998,50.888754786485,18.082515736941986
11408,170.2070002,54.854921110528,18.934801631142932
20407,169.7750986,57.712099449158,20.022527122110436
728,160.33877,37.6868445313899,14.659281367973774
10408,166.9681192,61.518782695909,22.066864234355325
5425,167.56329200000002,58.928588826261006,20.98786552917077
21372,168.80088160000005,54.76937358954601,19.22154766173048
23115,168.8891974,47.410109541718,16.621385227584508
24141,167.19953859999998,56.816844188489,20.323895747662664
6987,168.1365446,61.213106797766,21.65310522127484
9469,172.9091284,65.161900534038,21.79505149119916
8779,162.3520502,51.796574555803005,19.651037527556973
24527,171.06866979999998,54.780486602611006,18.71909847089871
8416,171.2788802,61.29665851232,20.894364682046927
20650,164.7035568,55.497253265685,20.458111120036296
22166,166.7841216,47.314265473937006,17.009153415361087
23075,168.94937000000002,62.165922930188,21.779065064500436
664,166.74175440000002,59.63347136924101,21.448718911162377
1297,172.2272654,52.129465996146,17.574357805050244
6885,169.7776132,61.15590879990901,21.21668735361236
11885,171.4449708,65.78536324660301,22.38101494097554
11974,172.2407528,59.616416296129,20.095278800873153
3311,171.9116958,66.249297522639,22.416635431376154
7896,167.1180046,48.618524974635,17.408257246736078
9496,171.60336519999998,57.682933459767,19.58825449162875
18500,169.16626060000002,55.054365675617,19.23819242702316
21698,168.682416,56.881118227318,19.990722944796953
4781,165.1903224,51.467856165264,18.861093891569396
18775,172.34865200000002,51.912467406338,17.476557470732637
7640,171.2384688,58.543624981842,19.96535049198628
16934,171.104306,56.250216599885,19.213315790669657
8744,167.352853,50.727684135898,18.112516534106692
23481,167.5318976,60.594905756693,21.58942615481096
4328,169.18990800000003,53.967331560912,18.853068096151254
13152,171.75480000000002,67.179434036561,22.77291235188875
1161,166.2895582,54.568477528873,19.733852515549845
15152,168.2496254,52.03679707495501,18.38240564512358
4296,164.519229,56.560428421728005,20.89677945835488
10133,168.68099360000002,52.52649539760701,18.460613266617276
14862,170.8428638,58.168776247274,19.92949259180424
22546,169.15450040000002,54.200750194514,18.942538738250825
7391,165.50726360000002,50.006608345309004,18.255481119020228
1522,171.0480196,57.830532416965006,19.766104638058017
12490,170.4329332,53.78612140909701,18.516682974776405
3962,171.5050164,60.395098317708005,20.53279342514067
4658,171.8015868,56.160904262232,19.02741324017425
20228,165.7044438,51.921131020605,18.90931661507876
22986,172.7681076,63.913841127983005,21.412519242416963
5737,163.2171234,52.57716166533601,19.73629820716076
22787,164.37325520000002,46.033139184109,17.03759460723416
23672,165.75244980000002,52.240006456715,19.01442995912957
9663,166.66456380000002,53.81669353483501,19.374498573303093
17284,169.13908260000002,50.893063914,17.78978322712779
15670,166.972107,51.222644130042,18.372748838176367
8625,169.4292268,57.826994396479,20.144382642184084
19777,169.5520612,62.48094283115301,21.734088286146132
5225,172.7097638,56.580976156089,18.96866013808288
1497,164.8892816,47.367789373597006,17.42201026301212
20271,171.62404080000002,49.733455020095,16.88466253529846
24240,172.8110844,63.209820410506005,21.166125437207693
13771,165.8363206,46.666898443473,16.968741389098245
14207,172.3485758,49.775548392031006,16.757169227177286
934,171.86656,60.107928988261,20.349277574122663
4610,169.9894746,58.036281915997,20.084245368112914
20541,164.4311926,50.37746546702101,18.63236145439941
4513,172.2938896,56.74213752515,19.11463199048892
17869,168.00814760000003,64.165720971044,22.73224831859005
16035,169.325671,59.237394511757,20.660952428030708
23753,172.768006,58.66459806692101,19.653932390991844
19668,161.03437440000002,48.483626603797,18.696396814020595
4189,170.2059334,47.252304756195,16.310737754842922
23494,170.9805318,55.80773724295,19.089787195108887
21203,171.4740792,59.053054572589,20.083777805997254
14707,166.36895859999998,54.257267803816,19.60258403246305
18752,161.6465144,54.77050757047101,20.961100344558712
12670,167.5428704,48.905558226371,17.42233327479273
22621,169.7267116,48.14941974558101,16.71439509393275
11290,167.0312636,49.726424338360005,17.823446978151853
24268,167.926639,58.880099801908,20.879944784087353
11299,169.2011094,51.929658557161,18.138820979819496
15096,164.656008,53.14446964249501,19.60211412831318
5241,168.05945559999998,52.731791304269,18.67009895670857
24169,172.993177,61.710153316812,20.620475530780887
9871,170.8063894,58.510739535017,20.055216861869656
7267,171.82155120000002,60.21924055585901,20.39764378298327
15990,169.9805846,49.713406237341005,17.205800534167647
84,168.3473392,58.487016654066,20.6370186187953
577,166.88516280000002,56.64779031219,20.33983943987369
20149,171.5606678,52.800238392902,17.939090765553814
17970,172.0610986,56.592860276183,19.11596652165676
18796,161.0099142,58.50974163180299,22.569552242736695
18397,166.750873,50.505877466968,18.163757210797723
22504,166.20378240000002,60.294037937672,21.826925381364433
11502,170.9692034,51.123806352619,17.489903158061544
14864,169.9967644,56.971065594289,19.713921906603737
17750,164.1959378,55.649252068872,20.64117969932125
4225,166.0327134,55.049466878021,19.969435418452864
10536,171.153709,63.36445004943901,21.630822817321487
23461,170.3959762,54.465103827750006,18.75856731069909
9253,172.53712,63.163327192580994,21.21777842746645
906,172.76836160000002,59.243427290278,19.84777122555249
5020,169.807128,51.574767886873005,17.886503371224997
15238,166.6851124,57.62346750006,20.73985730345647
20174,170.1365152,53.691048448345,18.548415604890167
8409,165.32659339999998,56.701949241168,20.744957752541858
23666,170.3017168,56.992248357968,19.65068700008074
5264,169.2092882,51.290093315461,17.91369155516074
20962,171.65142200000005,51.134874006447,17.354910528959163
8561,164.0394738,55.706087192833,20.701695657514005
7105,170.1441352,61.92483858553301,21.390991529827883
3008,166.7886936,54.031696318215005,19.422958773529583
22041,168.8218874,53.620696271758,18.813731705868506
13592,172.50056940000002,60.039481899628,20.176966363904548
2261,171.26320840000002,56.51348161143301,19.26743542632805
11819,165.74482980000002,52.744718686814,19.199901484409317
3266,166.06400620000002,59.84861023033201,21.70216436108113
723,162.6118668,56.87005057349,21.50696574017302
22207,165.4975608,50.317636633418,18.371179476623297
13521,171.4585344,54.926180471855,18.683626863933963
11847,172.834173,59.075325957956,19.776384389581327
2823,172.0973444,58.325084177976,19.692780334083984
10548,168.3137858,50.04348540499,17.66477754443367
6324,167.9192222,47.169660226381,16.728689490179107
11892,165.30317459999998,48.568085503091,17.77413998004444
24648,169.6724826,54.465330623935,18.91896246511521
